Team,ClubELO,AndrewELO
Arsenal,1861,1833
Aston Villa,1614,1581
Barnsley,1395,1365
Birmingham,1415,1386
Blackburn,1540,1513
Blackpool,1396,1378
Bolton,1523,1490
Bournemouth,1492,1449
Brighton,1532,1520
Burnley,1609,1579
Cardiff,1531,1526
Charlton,1451,1430
Chelsea,1914,1846
Crystal Palace,1623,1580
Derby,1598,1537
Doncaster,1380,1352
Everton,1824,1779
Nottingham Forest,1480,1455
Fulham,1581,1567
Huddersfield,1431,1402
Hull,1571,1529
Ipswich,1513,1488
Leeds,1436,1410
Leicester,1635,1611
Liverpool,1895,1828
Man City,1951,1884
Man United,1854,1807
Middlesbrough,1512,1472
Millwall,1425,1411
Newcastle,1646,1617
Norwich,1600,1564
QPR,1564,1525
Reading,1543,1518
Sheffield Weds,1463,1422
Southampton,1714,1664
Stoke,1694,1658
Sunderland,1643,1599
Swansea,1669,1611
Tottenham,1796,1779
Watford,1493,1457
West Brom,1630,1697
West Ham,1659,1600
Wigan,1545,1536
Yeovil,1370,1319